Booking ID,Date of Booking,Time,Customer ID,Gender,Age,Origin Country,State,Location,Destination Country,Destination City,No. Of People,Check-in date,No of Days,Check-Out Date,Rooms,Hotel Name,Hotel Rating,Payment Mode,Bank Name,Booking Price[SGD],Discount,GST,Profit Margin
DDMY00001,1/1/2010,10:49:40,MY00001,Male,42,Malaysia,Johor,Iskandar Puteri,Denmark,Horsens,1,1/12/2010,8,1/20/2010,1,Hotel Triton,4.3,Wallet,United Overseas Bank (UOB),243,1%,0.07,0.25
DDID00002,1/1/2010,9:19:47,ID00001,Female,44,Indonesia,Ciawi,West Java,Colombia,Medellin,3,1/21/2010,1,1/22/2010,2,Enchanted Isle,4.2,Wallet,EZ-Link,312,0%,0.07,0.24
DDSG00003,1/1/2010,11:52:56,SG00001,Female,31,Singapore,Central,Rochor,Germany,Munich,3,1/2/2010,7,1/9/2010,2,Seacoast Hotel,4.5,Credit Card,Grab,338,19%,0.07,0.2
DDSG00004,1/1/2010,13:44:40,SG00002,Male,28,Singapore,North,Yishun,Canada,Montreal,3,2/15/2010,4,2/19/2010,2,Night In Paradise,4.2,Debit Card,DBS Paylah,254,19%,0.07,0.13
DDKH00005,1/1/2010,5:38:26,KH00001,Male,44,Cambodia,Phnom Trop,Pursat,Kenya,Nairobi,5,1/3/2010,3,1/6/2010,3,Tiny Digs Hotel,4.6,Wallet,Bank of Singapore (BOS),313,15%,0.07,0.17
DDTH00006,1/1/2010,5:41:55,TH00001,Male,32,Thailand,Chiang Mai,Chiang Mai,Canada,Toronto,2,1/28/2010,1,1/29/2010,1,Seascape,4.5,Internet Banking,United Overseas Bank (UOB),161,1%,0.07,0.15
DDTH00007,1/1/2010,20:14:21,TH00002,Male,49,Thailand,Surat Thani,Surat Thani,Iran,Tehran,3,3/15/2010,3,3/18/2010,2,Waldorf Astoria,4.6,Debit Card,HSBC,313,10%,0.07,0.17
DDMY00008,1/1/2010,0:22:07,MY00002,Female,58,Malaysia,Sarawak,Kuching,Egypt,Port Said,4,1/3/2010,1,1/4/2010,2,The Westgate Hotel,4.1,Wallet,Cash,121,5%,0.07,0.15
DDSG00009,1/1/2010,9:30:32,SG00003,Male,57,Singapore,North,Mandai,Egypt,Luxor,4,4/9/2010,3,4/12/2010,2,Firefly Motel,4.4,COD,EZ-Link,173,20%,0.07,0.22
DDSG00010,1/1/2010,16:22:39,SG00004,Female,41,Singapore,West,Tengah,France,Marseille,4,1/7/2010,2,1/9/2010,2,Cape Grace,4.7,Credit Card,Grab,309,16%,0.07,0.25
DDTH00011,1/1/2010,5:04:33,TH00003,Female,28,Thailand,Rayong,Rayong,New Zealand,Auckland,6,1/11/2010,6,1/17/2010,3,Green Acres,4.2,COD,CITI Bank,98,7%,0.07,0.19
DDMY00012,1/1/2010,2:25:07,MY00003,Male,40,Malaysia,Kedah,Alor Setar,Japan,Nagoya,7,1/2/2010,1,1/3/2010,4,The Empire Hotel,4.2,COD,Grab,146,1%,0.07,0.25
DDVN00013,1/1/2010,3:02:21,VN00001,Male,37,Vietnam,Da Nang,Da Nang,Italy,Bari,3,2/17/2010,3,2/20/2010,2,Small Town B&B,4.5,COD,EZ-Link,253,17%,0.07,0.11
DDKH00014,1/1/2010,7:39:36,KH00002,Female,40,Cambodia,Kamchay Mear,Prey Veng,Israel,Haifa,4,2/25/2010,1,2/26/2010,2,Hotel Fusion,4.5,Internet Banking,EZ-Link,161,17%,0.07,0.15
DDKH00015,1/2/2010,14:48:30,KH00003,Male,51,Cambodia,Kandal,Kandal,Iceland,Kopavogur,5,1/3/2010,2,1/5/2010,3,The River Front Resort,4.4,COD,Bank of Singapore (BOS),251,20%,0.07,0.14
DDVN00016,1/2/2010,13:05:46,VN00002,Female,25,Vietnam,Da Nang,Da Nang,France,Lyon,6,2/3/2010,2,2/5/2010,3,Expedition,4.3,Credit Card,United Overseas Bank (UOB),162,6%,0.07,0.2
DDSG00017,1/2/2010,14:37:10,SG00005,Male,33,Singapore,Central,Toa Payoh,Germany,Hanover,6,1/12/2010,9,1/21/2010,3,Like Home Hotel,4.5,Credit Card,EZ-Link,253,20%,0.07,0.11
DDPH00018,1/2/2010,21:17:13,PH00001,Female,25,Philippines,Isabela,Cauayan,Brazil,Fortaleza,3,1/3/2010,2,1/5/2010,2,Family Ties,4.4,Wallet,Bank of Singapore (BOS),173,21%,0.07,0.22
DDMY00019,1/2/2010,13:27:10,MY00004,Female,33,Malaysia,Johor,Johor Bahru,Mexico,Ecatepec,2,1/14/2010,1,1/15/2010,1,Homewood Suites,4.3,COD,EZ-Link,158,9%,0.07,0.24
DDSG00020,1/2/2010,2:44:43,SG00006,Female,31,Singapore,North,Sembawang,New Zealand,Tauranga,5,2/23/2010,1,2/24/2010,3,Hotel Emblem,4.1,Wallet,HSBC,133,24%,0.07,0.16
DDSG00021,1/2/2010,13:23:11,SG00007,Female,32,Singapore,Central,Novena,Mexico,Puebla City,5,1/3/2010,2,1/5/2010,3,Voyage Resort,4.3,Debit Card,EZ-Link,125,8%,0.07,0.2
DDID00022,1/2/2010,20:34:37,ID00002,Female,36,Indonesia,Cimanggis,West Java,Japan,Nagoya,5,1/19/2010,3,1/22/2010,3,Villa Florence,3.8,Internet Banking,Bank of Singapore (BOS),93,9%,0.07,0.22
DDSG00023,1/2/2010,23:23:23,SG00008,Female,58,Singapore,Central,Marine Parade,New Zealand,Manukau,2,2/5/2010,3,2/8/2010,1,Always Available,3.8,Internet Banking,Bank of Singapore (BOS),99,15%,0.07,0.22
DDMY00024,1/2/2010,12:53:50,MY00005,Female,47,Malaysia,Kedah,Alor Setar,Maldives,Naifaru,1,1/14/2010,9,1/23/2010,1,The Lodge at Sea Island,4.6,Internet Banking,EZ-Link,222,20%,0.07,0.14
DDMY00025,1/2/2010,15:05:29,MY00006,Male,22,Malaysia,Penang,George Town,Kenya,Eldoret,3,1/3/2010,6,1/9/2010,2,Enchanted Isle,4.3,Debit Card,United Overseas Bank (UOB),155,20%,0.07,0.24
DDMY00026,1/2/2010,18:41:23,MY00007,Female,58,Malaysia,Penang,Seberang Perai,Denmark,Odense,1,1/18/2010,1,1/19/2010,1,Malibu Motel,4.6,Debit Card,DBS Paylah,313,24%,0.07,0.17
DDMY00027,1/2/2010,20:20:25,MY00008,Male,30,Malaysia,Johor,Johor Bahru,India,Aligarh,3,1/10/2010,7,1/17/2010,2,Millennium Times Square,4.6,Wallet,DBS Bank,222,6%,0.07,0.14
DDSG00028,1/2/2010,12:34:45,SG00009,Female,35,Singapore,East,Changi,France,Lyon,3,1/18/2010,1,1/19/2010,2,Meadow Manor,3.8,Debit Card,CITI Bank,99,9%,0.07,0.22
